image_path,label
./Datasets/Brand_Selfies/Images/BNCO8MFgDF0.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9yG8YsHEP_.jpg,packshot
./Datasets/Brand_Selfies/Images/BM49LezDsv4.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9o9ZSySw9a.jpg,packshot
./Datasets/Brand_Selfies/Images/BNfn6WYg0yV.jpg,packshot
./Datasets/Brand_Selfies/Images/9o6YosLI8Q.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9xMY1mhhjZ.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9ql-ZyC3ZJ.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9kEIrJKmfW.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/BBhtVFQuu4U.jpg,packshot
./Datasets/Brand_Selfies/Images/BNIjpB4guED.jpg,packshot
./Datasets/Brand_Selfies/Images/9ljUQPoRND.jpg,packshot
./Datasets/Brand_Selfies/Images/9tP-u0FF1U.jpg,packshot
./Datasets/Brand_Selfies/Images/9mO3rGiNNX.jpg,packshot
./Datasets/Brand_Selfies/Images/9jndTDAtcg.jpg,packshot
./Datasets/Brand_Selfies/Images/9je7QaE45z.jpg,packshot
./Datasets/Brand_Selfies/Images/9tLMCSufSH.jpg,packshot
./Datasets/Brand_Selfies/Images/BOLjN42jAEu.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9sPyHMxyyH.jpg,packshot
./Datasets/Brand_Selfies/Images/BM-Mequl4-D.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BNKcnzeBYQw.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9q3_-PGRmk.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9nJoYkvjhB.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/-4Xnw3B4fu.jpg,packshot
./Datasets/Brand_Selfies/Images/9mkXasoirc.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9m1kMthcQv.jpg,packshot
./Datasets/Brand_Selfies/Images/BN5UhVJAzdd.jpg,packshot
./Datasets/Brand_Selfies/Images/BNVHUzADjsj.jpg,packshot
./Datasets/Brand_Selfies/Images/BM2BX40gSbU.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BOp81ywgHaX.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/BM4klVBgufK.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BMp0AkHhdLK.jpg,packshot
./Datasets/Brand_Selfies/Images/9lcQ2fiAIe.jpg,packshot
./Datasets/Brand_Selfies/Images/9ly1nLFU7a.jpg,packshot
./Datasets/Brand_Selfies/Images/9l-x6auTO9.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9v7UYtvXM-.jpg,packshot
./Datasets/Brand_Selfies/Images/9orr-CFVtu.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/91IiitIiW5.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9t3eh_MhP9.jpg,packshot
./Datasets/Brand_Selfies/Images/9jMyyHA4j0.jpg,packshot
./Datasets/Brand_Selfies/Images/9mjSW2HtM-.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9jZrcngFuI.jpg,packshot
./Datasets/Brand_Selfies/Images/BNxnbQIBdvv.jpg,packshot
./Datasets/Brand_Selfies/Images/BNA1JZphWIB.jpg,packshot
./Datasets/Brand_Selfies/Images/9rBzOsnPqh.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9jhxAsg5Pl.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9ttUViyDNj.jpg,packshot
./Datasets/Brand_Selfies/Images/9jdYgNKdVI.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9mHhUaNxfT.jpg,packshot
./Datasets/Brand_Selfies/Images/9oG_B-pfx2.jpg,packshot
./Datasets/Brand_Selfies/Images/9vGFK6P36O.jpg,packshot
./Datasets/Brand_Selfies/Images/BOSO6VihMnz.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9lrVDoCabd.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9mT2PkRpaO.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9uEUZbuv5j.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/96T8-AJBQx.jpg,packshot
./Datasets/Brand_Selfies/Images/9rC0L-Iv0r.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9wfl2tiNMi.jpg,packshot
./Datasets/Brand_Selfies/Images/BMw47svA_v8.jpg,packshot
./Datasets/Brand_Selfies/Images/9t9M0DO3YO.jpg,packshot
./Datasets/Brand_Selfies/Images/9jdaISx91b.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9jMhC3lwPc.jpg,packshot
./Datasets/Brand_Selfies/Images/9uw0pRMxPi.jpg,packshot
./Datasets/Brand_Selfies/Images/9mfziASoHE.jpg,packshot
./Datasets/Brand_Selfies/Images/9mhH1JvemX.jpg,packshot
./Datasets/Brand_Selfies/Images/9q3jfev7Dr.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9rB6YPt8OV.jpg,packshot
./Datasets/Brand_Selfies/Images/9lzou_NCtb.jpg,packshot
./Datasets/Brand_Selfies/Images/9jm_JYScMh.jpg,packshot
./Datasets/Brand_Selfies/Images/9tPzG1hq2y.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9v-fczCFMj.jpg,packshot
./Datasets/Brand_Selfies/Images/96WIbrQSLV.jpg,packshot
./Datasets/Brand_Selfies/Images/BNKpc2ojtAp.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9pGQyysf-9.jpg,packshot
./Datasets/Brand_Selfies/Images/9nTtiRo08k.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BNdpsr1hsr1.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BN4YCm-jb4w.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9ovXNfL8Z4.jpg,packshot
./Datasets/Brand_Selfies/Images/BNCz1KvDtVO.jpg,packshot
./Datasets/Brand_Selfies/Images/9mBM0ul9lk.jpg,packshot
./Datasets/Brand_Selfies/Images/BNKcL7qjw_9.jpg,packshot
./Datasets/Brand_Selfies/Images/BNDDTYPBh5g.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BNUZw_YFEd9.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9lpsa3pZD2.jpg,packshot
./Datasets/Brand_Selfies/Images/9s8YVLCVSG.jpg,packshot
./Datasets/Brand_Selfies/Images/9ld7XAzUyj.jpg,packshot
./Datasets/Brand_Selfies/Images/9pfNbAH9-W.jpg,packshot
./Datasets/Brand_Selfies/Images/9kIi1DgFBr.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/BMxkqFujqFE.jpg,packshot
./Datasets/Brand_Selfies/Images/BN20JuYAtBs.jpg,packshot
./Datasets/Brand_Selfies/Images/BM-LKg1hZc7.jpg,packshot
./Datasets/Brand_Selfies/Images/9o3awgGVT6.jpg,packshot
./Datasets/Brand_Selfies/Images/9lHiH0ikOM.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9oDICvSMU0.jpg,packshot
./Datasets/Brand_Selfies/Images/-T9UR4nD4j.jpg,packshot
./Datasets/Brand_Selfies/Images/9uJLkIzGGG.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/BNitsvqjm8Z.jpg,packshot
./Datasets/Brand_Selfies/Images/BN9brGbhb8f.jpg,packshot
./Datasets/Brand_Selfies/Images/9o1vGJCewk.jpg,packshot
./Datasets/Brand_Selfies/Images/BN0AP25hEuK.jpg,packshot
./Datasets/Brand_Selfies/Images/BOXQjSQAuKU.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9ttpy4lx6O.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9wyTHWj1q2.jpg,packshot
./Datasets/Brand_Selfies/Images/BMunod6jhri.jpg,brand_selfie
./Datasets/Brand_Selfies/Images/9tIzfVAJx0.jpg,packshot
./Datasets/Brand_Selfies/Images/9l1xkVBpo3.jpg,packshot
./Datasets/Brand_Selfies/Images/9v6ifYMuCO.jpg,packshot
./Datasets/Brand_Selfies/Images/9tVuYaBMGV.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/BNhrzfcDpI3.jpg,consumer_selfie
./Datasets/Brand_Selfies/Images/9pKIVbCyGq.jpg,packshot
./Datasets/Brand_Selfies/Images/9oQgMPo7lq.jpg,brand_selfie
